,DataID,FEIN,EntityName,DateOfOrganization,ActiveFlag,CleanName,CoreName,Date,bostonFlag
728236,00t2xp,001390944,ZHU LLC,06/28/2019,Y,ZHU LLC,ZHU,2019-06-28,False
998456,004ask,260734511,ZETLAND MANAGEMENT LLC,08/13/2007,Y,ZETLAND MANAGEMENT LLC,ZETLAND,2007-08-13,False
1093732,00lkgh,001098075,ZEBRA PI LLC,01/19/2013,Y,ZEBRA PI LLC,ZEBRA PI,2013-01-19,False
1100244,00lsok,001105142,"ZAS, LLC",04/18/2013,Y,ZAS LLC,ZAS,2013-04-18,False
1168492,00laqy,001088981,Z & T REALTY CORP.,09/28/2012,Y,Z AND T REALTY CORPORATION,Z AND T,2012-09-28,False
822682,00g0mj,001042269,Z & S REALTY LLC,12/17/2010,Y,Z AND S REALTY LLC,Z AND S,2010-12-17,False
814319,00im9h,205883960,"YUAN HUAN, INC.",11/15/2006,N,YUAN HUAN INC,YUAN HUAN,2006-11-15,False
1023668,00kzm3,001078865,"YU SAU REALTY, LLC",05/09/2012,Y,YU SAU REALTY LLC,YU SAU,2012-05-09,False
757580,004igy,000909636,"YSI VENTURES, LLC",11/15/2005,Y,YSI VENTURE LLC,YSI,2005-11-15,False
902288,002ynl,271029985,YMCA OF GREATER BOSTON REALTY CORPORATION,09/30/2009,N,YMCA OF GREATER BOSTON REALTY CORPORATION,YMCA OF GREATER BOSTON,2009-09-30,False
947739,00m969,001119344,YIDEBEN REALTY LLC,10/31/2013,Y,YIDEBEN REALTY LLC,YIDEBEN,2013-10-31,False
17105,00euk2,L96524017,YIA YIA REALTY LIMITED PARTNERSHIP,01/12/1996,Y,YIA YIA REALTY LIMITED,YIA YIA,1996-01-12,False
1190433,006vbz,271741846,"YEE FAMILY SERIES, LLC",01/12/2010,N,YEE FAMILY SERIES LLC,YEE FAMILY SERIES,2010-01-12,False
699201,00il8h,000870985,"YAS 423 BEACON, LLC",06/23/2004,N,YAS 423 BEACON LLC,YAS 423 BEACON,2004-06-23,False
921974,00kg9q,611659659,"YANAMTEMPLE, LLC",09/20/2011,Y,YANAMTEMPLE LLC,YANAMTEMPLE,2011-09-20,False
1203640,00lg8h,001001001,"YAM INVESTMENTS, LLC",12/10/2012,Y,YAM INVESTMENTS LLC,YAM,2012-12-10,False
1042896,00ljuy,461757691,XINQIAO (USA) CORPORATION,01/14/2013,Y,XINQIAO USA CORPORATION,XINQIAO USA,2013-01-14,False
664165,00gioy,001052408,"X BANKERS, LLC",05/05/2011,Y,X BANKERS LLC,X BANKERS,2011-05-05,False
832483,00kuvm,001074727,"WROX, LLC",03/16/2012,Y,WROX LLC,WROX,2012-03-16,False
932606,00klch,001066063,WORK REALTY LLC,11/30/2011,Y,WORK REALTY LLC,WORK,2011-11-30,False
777106,007nlu,204538136,WOODSTOCK LJS LLC,03/31/2006,Y,WOODSTOCK LJS LLC,WOODSTOCK LJS,2006-03-31,False
55563,00dx92,043483151,WOLFE LLC,09/20/1999,Y,WOLFE LLC,WOLFE,1999-09-20,False
693098,00j2ee,021150487,"WO WO REALTY, LLC",06/09/2004,Y,WO WO REALTY LLC,WO WO,2004-06-09,False
1043914,00lovv,224853708,WINWIN REALTY LLC,03/12/2013,Y,WINWIN REALTY LLC,WINWIN,2013-03-12,False
835488,00l26y,001081190,"WINTHROP STREET HOLDINGS, LLC",06/11/2012,Y,WINTHROP ST HOLDINGS LLC,WINTHROP ST,2012-06-11,False
957163,00fwry,263216765,"WINTHROP STREET TRUST, LLC",08/21/2008,Y,WINTHROP ST TRUST LLC,WINTHROP ST,2008-08-21,False
1139471,00i4sp,001055104,"WINTER STREET INVESTMENTS, LLC",06/13/2011,Y,WINTER ST INVESTMENTS LLC,WINTER ST,2011-06-13,False
42587,00drf1,043334639,"WINTER 8 ASSOCIATES, LLC",06/24/1996,Y,WINTER 8 ASSOCIATION LLC,WINTER 8,1996-06-24,False
593304,00bpxe,000146373,"WINSTON DAVID,INC.",04/24/1979,N,WINSTON DAVID INC,WINSTON DAVID,1979-04-24,False
1183440,00kiys,001063921,WINKING TIGER  LLC,10/26/2011,N,WINKING TIGER LLC,WINKING TIGER,2011-10-26,False
346577,008su6,000636512,"WING KWONG, INC.",11/17/1998,N,WING KWONG INC,WING KWONG,1998-11-17,False
525869,00gacy,043462461,"WINDALE DEVELOPERS, INC.",03/25/1999,Y,WINDALE DEVELOPERS INC,WINDALE DEVELOPERS,1999-03-25,False
1002953,00kkax,001065092,WINCHESTER 37 LLC,11/14/2011,Y,WINCHESTER 37 LLC,WINCHESTER 37,2011-11-14,False
1013819,00j2hp,000991317,WINBOROUGH REALTY LLC,12/09/2008,N,WINBOROUGH REALTY LLC,WINBOROUGH,2008-12-09,False
1081956,00n3gc,001145541,WILSHIRE APARTMENTS LLC,08-28-2014,Y,WILSHIRE APARTMENTS LLC,WILSHIRE,2014-08-28,False
759087,008rp4,000910347,WILLIAMS AVENUE LLC,11/23/2005,N,WILLIAMS AVE LLC,WILLIAMS AVE,2005-11-23,False
965030,00asyj,001045015,WILLIAMS ANTHONY GROUP LLC,01/25/2011,N,WILLIAMS ANTHONY GROUP LLC,WILLIAMS ANTHONY,2011-01-25,False
1177,00f7jc,T00002382,WILLIAMS REALTY TRUST,08/31/1967,Y,WILLIAMS REALTY TRUST,WILLIAMS,1967-08-31,False
481966,00asf6,042254483,"WILLIAM F. LYNCH CO, INC.",01/23/1959,Y,WILLIAM F LYNCH COMPANY INC,WILLIAM F LYNCH,1959-01-23,False
1100219,00lsoh,001105139,"WILLIAM D. EAVES, D.M.D., LLC",04/18/2013,N,WILLIAM D EAVES DMD LLC,WILLIAM D EAVES DMD,2013-04-18,False
254905,005qya,042619315,"WILLIAM BURKE ASSOCIATES, INC.",07/08/1977,N,WILLIAM BURKE ASSOCIATION INC,WILLIAM BURKE,1977-07-08,False
682064,00fj3k,000951956,"WILLIAM A., INC.",05/18/2007,N,WILLIAM A INC,WILLIAM A,2007-05-18,False
15117,00erjz,L97595987,WILDER GARDENS LIMITED PARTNERSHIP,11/25/1997,Y,WILDER GARDEN LIMITED,WILDER GARDEN,1997-11-25,False
644413,00jb8m,000943461,WIGGLESWORTH LLC,01/31/2007,Y,WIGGLESWORTH LLC,WIGGLESWORTH,2007-01-31,False
1022513,00kw8g,001075914,"WHSK, LLC",03/30/2012,Y,WHSK LLC,WHSK,2012-03-30,False
963806,00l2cn,001081348,"WHPBLS, LLC",06/13/2012,Y,WHPBLS LLC,WHPBLS,2012-06-13,False
1044550,007iis,001044610,WHITTIER PLACE LLC,01/19/2011,Y,WHITTIER PLACE LLC,WHITTIER PLACE,2011-01-19,False
1214266,00l674,001084868,"WHITING PLACE, LLC",08/02/2012,N,WHITING PLACE LLC,WHITING PLACE,2012-08-02,False
903116,00ayht,061702196,"WHITING AVENUE, LLC",06/27/2003,Y,WHITING AVE LLC,WHITING AVE,2003-06-27,False
527121,00fzy7,043426429,"WHITE CRAIG, INC.",07/08/1998,N,WHITE CRAIG INC,WHITE CRAIG,1998-07-08,False
785968,00lddx,001091353,WHITCOMB AVENUE 95 DEVELOPMENT LLC,11/01/2012,N,WHITCOMB AVE 95 DEVELOPMENT LLC,WHITCOMB AVE 95,2012-11-01,False
802042,007wx4,000967160,WHARFEY LIMITED PARTNERSHIP,01/01/2008,Y,WHARFEY LIMITED,WHARFEY,2008-01-01,False
1089231,00l4e2,001083220,WFH HOUSING LLC,07/09/2012,Y,WFH HOUSING LLC,WFH HOUSING,2012-07-09,False
837917,00lhys,461629836,WFE LLC,12/26/2012,Y,WFE LLC,WFE,2012-12-26,False
917389,00895j,001053480,"WELLS FARGO FINANCIAL, INC.",05/19/2011,N,WELLS FARGO FINANCIAL INC,WELLS FARGO FINANCIAL,2011-05-19,False
703925,00mwbu,001139334,"WELLINGTON HILL, LLC",06/16/2014,Y,WELLINGTON HILL LLC,WELLINGTON HILL,2014-06-16,False
640978,00gdcy,000803280,"WEI WEI, INC.",10/25/2001,N,WEI WEI INC,WEI WEI,2001-10-25,False
959358,00kz2c,001078366,"WEBSTER-CJG, LLC",05/03/2012,Y,WEBSTER CJG LLC,WEBSTER CJG,2012-05-03,False
844308,00gtf7,001045714,WE CLOSE THE DEAL LLC,02/03/2011,Y,WE CLOSE DEAL LLC,WE CLOSE DEAL,2011-02-03,False
632728,00gysm,001030690,"WD COUGAR, LLC",06/18/2010,Y,WD COUGAR LLC,WD COUGAR,2010-06-18,False
1009065,00ji51,001007174,WBTC ASSOCIATES LLC,06/29/2009,Y,WBTC ASSOCIATION LLC,WBTC,2009-06-29,False
977568,00ghva,001038000,WBH HOUSING LLC,10/12/2010,Y,WBH HOUSING LLC,WBH HOUSING,2010-10-12,False
770838,00c6tv,000917875,"WAYPOINT GENERAL CONTRACTING, LLC",02/28/2006,Y,WAYPOINT GENERAL CONTRACTING LLC,WAYPOINT GENERAL CONTRACTING,2006-02-28,False
26233,00eikc,L86338202,WAYNE APARTMENTS PROJECT LP,01/23/1986,Y,WAYNE APARTMENTS PROJECT LIMITED,WAYNE PROJECT,1986-01-23,False
944711,00mkq1,001129394,WAYNE AT COLUMBIA LLC,02/26/2014,Y,WAYNE AT COLUMBIA LLC,WAYNE AT COLUMBIA,2014-02-26,False
913774,00n7g6,001148930,"WAXWING, LLC",10/07/2014,Y,WAXWING LLC,WAXWING,2014-10-07,False
495824,009m0m,043295296,"WAVERLY HOMES, INC.",11/14/1995,N,WAVERLY HOMES INC,WAVERLY HOMES,1995-11-14,False
1002894,00kk9c,001065051,WAVERLY BOSTON LLC,11/14/2011,N,WAVERLY BOSTON LLC,WAVERLY BOSTON,2011-11-14,False
667531,00gkc3,000832400,WAUMBECK LIMITED PARTNERSHIP,12/31/2002,Y,WAUMBECK LIMITED,WAUMBECK,2002-12-31,False
1002538,00ko6w,454150351,WATSON DEVELOPMENT LLC,01/04/2012,Y,WATSON DEVELOPMENT LLC,WATSON,2012-01-04,False
994879,003gjt,001051012,"THE WATKINS CAPITAL GROUP, LLC",04/15/2011,N,WATKINS CAPITAL GROUP LLC,WATKINS CAPITAL,2011-04-15,False
1158052,00tye0,001424809,WATERVIEW LLC,02/10/2020,Y,WATERVIEW LLC,WATERVIEW,2020-02-10,False
1215730,00msdw,465587403,"WATERSIDE PROPERTIES, LLC",05/09/2014,Y,WATERSIDE PROPERTIES LLC,WATERSIDE,2014-05-09,False
548150,00hh8e,043447717,"WATERSHED PROPERTIES, INC.",01/01/1999,Y,WATERSHED PROPERTIES INC,WATERSHED,1999-01-01,False
481519,006n6s,042552229,"WATERS & CO., INC.",04/18/1974,Y,WATERS AND COMPANY INC,WATERS AND,1974-04-18,False
